Code_Vung,District_Name,Water_Area_km2,Urban_Area_km2,Agriculture_Area_km2,Greenery_Area_km2,Bare_Land_Area_km2,Total_LULC_Area_km2
01001,Ba Dinh,1.2077224340729924,6.691057377406552,0.42689193601939834,2.296829277627342,0.8333195018573529,11.455820526983638
01002,Hoan Kiem,0.796546451363025,3.5709007628719194,0.12166853011579264,1.0045698474606273,0.4338017411067317,5.927487332918096
01003,Tay Ho,8.604950920976114,8.860176962969415,2.1579849533437994,6.509196415459883,1.587175464699622,27.719484717448832
01004,Long Bien,7.308499817802981,23.079350094840365,2.663814613859044,19.85799491628179,3.988362526761235,56.89802196954542
01005,Cau Giay,0.6579001834968551,9.174115548335374,1.4241540998461963,1.5088683337625088,3.1421253073203053,15.90716347276124
01006,Dong Da,0.33469302989959626,7.138385194053181,0.2430502246891385,0.46078087378919774,0.9724093186074658,9.14931864103858
01007,Hai Ba Trung,2.202827096654052,8.421161907805093,0.1877474370437916,0.8279198333168611,1.2342604833169593,12.873916758136755
01008,Hoang Mai,4.74367453540186,18.41889849706045,1.977246456218348,8.934935276062877,3.9036890286055477,37.978443793349086
01009,Thanh Xuan,0.39850421604512193,5.593378615929441,0.23542376897588957,0.8074012311170267,1.3157889936002596,8.350496825667738
01016,Soc Son,11.464960404654098,52.78406320984252,90.97812212251246,139.71357273364112,9.10801913943611,304.04873761008633
01017,Dong Anh,13.008007369951553,49.726993419066645,47.01242467294731,71.81982358610716,8.894500737490828,190.4617497855635
01018,Gia Lam,12.278943127279444,30.285160654793152,17.684442825095708,53.04057638075765,5.098456796798623,118.38757978472458
01019,Tu Liem,5.260835832214639,28.859394879713726,7.896460036866223,25.66488946152034,7.035578961574426,74.71715917188936
01020,Thanh Tri,6.503640976935337,26.180899658761863,13.026790546198828,20.076162181053007,4.654555268356327,70.44204863130537
01250,Me Linh,13.485549956380167,27.395467169075168,39.67140544584236,57.94978471101374,5.102396385399938,143.6046036677114
01268,Ha Dong,0.9525930380683099,17.300610103566708,3.925638015575605,8.952883722317305,3.0351968273718426,34.16692170689977
01269,Son Tay,12.380771096927216,20.27877025880188,14.484305687217267,73.02334796209657,2.576667917412433,122.74386292245536
01271,Ba Vi,39.51326201142925,43.577739099362795,63.791532913938795,265.0123462413481,7.274291726772542,419.1691719928515
01272,Phuc Tho,8.353716296188555,22.007006425966303,26.049687702092868,59.60747252743843,2.493438933652653,118.51132188533882
01273,Dan Phuong,8.745377728639905,18.54211954058147,6.836265942288442,36.625603680474285,2.0395815021101953,72.78894839409429
01274,Hoai Duc,1.4567611145277133,28.44978812609577,14.120193470301835,35.38847439670823,4.529319224585272,83.94453633221883
01275,Quoc Oai,7.867443637123462,26.04240772245531,45.99694624846556,67.04033016023078,4.3046770169149156,151.25180478519005
01276,Thach That,5.029862106191342,30.026942586206452,32.45781583742033,100.46660981819909,4.8529197199454845,172.8341500679627
01277,Chuong My,14.71594383031534,43.12895353475347,83.33720744230189,82.81877540187352,5.30011024693875,229.30099045618297
01278,Thanh Oai,6.893243504745206,27.401249131373,62.10291924271807,25.86991303148363,3.694897414298918,125.96222232461884
01279,Thuong Tin,10.985312430771081,35.34813767826175,53.90666512196938,32.83395209138563,6.799670911135344,139.8737382335232
01280,Phu Xuyen,21.302936254350406,28.163330810619783,101.95961163902729,23.631179099205696,5.0930814436539364,180.15013924685712
01281,Ung Hoa,18.9989682327021,25.00144725884497,113.46770574733709,16.98141239812501,4.67221878616994,179.12175242317912
01282,My Duc,26.047191787417823,25.62048210639375,87.04111617985464,89.80334847699558,6.807589813601408,235.3197283642632
